UM1000,Just Chatting,Casual conversations; reactions; and hangouts without a main game.
DN1001,League of Legends,5v5 MOBA; ranked climbs; pro play analysis; and coaching.
TZ1002,Grand Theft Auto V,Open-world gameplay: GTA Online missions; stunts; and roleplay servers.
QU1003,Counter-Strike,Tactical 5v5 FPS; scrims; ranked; utility lineups; and tournaments.
LH1004,VALORANT,Hero-based 5v5 FPS; ranked; team scrims; agent guides; and aim practice.
DB1005,World of Warcraft,MMORPG raids; Mythic+; leveling; PvP arenas; and class guides.
XG1006,IRL,Real-life streaming: travel; city walks; food tours; and daily life.
DT1007,Minecraft,Survival; creative builds; minigames; speedruns; and modded packs.
NL1008,Dota 2,5v5 MOBA; high-MMR pubs; scrims; drafts; and tournament coverage.
MJ1009,Fortnite,Battle royale & creative modes; arena grind; events; and challenges.
WC1010,Metal Gear Solid Delta: Snake Eater,Stealth-action remake playthroughs; challenges; and lore.
KI1011,Apex Legends,Battle royale/arenas; ranked pushes; tournaments; and legend tips.
QC1012,Call of Duty: Warzone,BR metas; loadouts; high-kill lobbies; and ranked Resurgence.
LN1013,Dead by Daylight,4v1 horror; killer/survivor gameplay; builds; and customs.
KO1014,Teamfight Tactics,Auto-battler; patch meta comps; high-ELO ladders; and tips.
MI1015,Special Events,One-off broadcasts: showcases; charity streams; and premieres.
WT1016,Marvel Rivals,Team shooter with Marvel heroes; matches; comps; and strategies.
QT1017,Overwatch 2,5v5 hero FPS; role queue ranked; scrims; and VOD reviews.
QR1018,Escape from Tarkov,Extraction shooter; raids; looting routes; wipes; and market.
RO1019,Rocket League,Car-soccer; ranked playlists; freestyling; and tournaments.
RD1020,World of Tanks,Tank warfare; tech tree grinds; clan wars; and missions.
DQ1021,Clash Royale,Mobile RTS; ladder; challenges; deck building; and tips.
BY1022,Variety,Mixed-content channels rotating games and formats frequently.
BQ1023,Street Fighter 6,1v1 fighting; ranked sets; lab work; tech; and tournaments.
LJ1024,Hollow Knight,Metroidvania; challenge runs; speedruns; and full completions.
CY1025,PEAK,Competitive/action title; early-meta exploration and live matches.
PK1026,Sports,Sports talk; watch-alongs; management sims; and highlights.
RK1027,Last Epoch,ARPG; endgame monoliths; builds; crafting; and loot hunts.
RQ1028,Old School RuneScape,Classic MMORPG; skilling; PvM bosses; and Ironman runs.
LB1029,Deadlock,Competitive shooter/MOBA hybrid; matches and meta testing.
RN1030,Hearthstone,Digital CCG; ladder climbs; Arena; Battlegrounds; and deck guides.
KS1031,ASMR,Whispered and sound-focused relaxation to help sleep and study.
LD1032,Path of Exile 2,ARPG; campaign; league starts; crafting; and bossing.
HW1033,Art,Live drawing; painting; 3D modeling; and illustration workflows.
AK1034,PUBG: BATTLEGROUNDS,Tactical battle royale; rotations; clutches; and team comps.
NS1035,Virtual Casino,Virtual casino-style games and demonstrations.
GW1036,Slots,Slot machine streams and related casino content.
NZ1037,ROBLOX,Community-made experiences: obbies; roleplay; and minigames.
AE1038,Im Only Sleeping,"“Sleep"" streams with chat interactions and ambience."
UW1039,Music,Live music: covers; songwriting; production; and jam sessions.
NU1040,DJs,DJ sets; mixing; and live club-style performances.
PY1041,EA Sports FC 25,Football/soccer; Ultimate Team; Seasons; and tournaments.
EW1042,Rust,Survival PvP; wipe days; raids; bases; and team warfare.
ZG1043,Retro,Classic and retro gaming; speedruns; challenges; and nostalgia.
FE1044,Shadowverse: Worlds Beyond,Anime-style CCG; ladder; tournaments; and deck tech.
ZU1045,Tom Clancys Rainbow Six Siege X,Tactical FPS; strats; ranked; and operator guides.
VG1046,Albion Online,Sandbox MMORPG; PvP; ZvZ; gathering; and crafting economies.
KB1047,Destiny 2,Looter-shooter; raids; Trials; builds; and seasonal content.
BK1048,Always On,24/7 channels with loops; cams; and continuous programming.
LO1049,Call of Duty: Black Ops 6,CoD entry; multiplayer; Zombies; and campaign runs.
RL1050,Delta Force,Tactical shooter; squad play; extraction/objective modes.
CG1051,Madden NFL 26,American football; Franchise; MUT; and head-to-head play.
OA1052,RimWorld,Colony sim; storytelling runs; modpacks; and challenge scenarios.
DU1053,Garrys Mod,Sandbox & community modes; RP; TTT; and minigames.
PA1054,Tibia,Classic MMORPG; hunts; quests; and guild events.
NN1055,Games + Demos,Demos and showcases for new and indie games.
HV1056,ELDEN RING,Soulslike ARPG; challenge runs; builds; and boss fights.
UE1057,FINAL FANTASY XIV ONLINE,MMORPG; MSQ; raids; glam; and daily roulettes.
MD1058,Phasmophobia,Co-op ghost hunting; investigations and challenge runs.
IC1059,Pokémon Community Game,Chat-driven Pokémon minigame played in-stream.
BA1060,Talk Shows & Podcasts,Live interviews; panels; and podcast recordings.
XL1061,Clair Obscur: Expedition 33,Story-driven RPG; playthroughs and theorycrafting.
YC1062,Animals Aquariums and Zoos,Live animal cams; care streams; and zoo tours.
DA1063,Arena Breakout: Infinite,Extraction FPS; builds; raids; and economy.
CV1064,VRChat,Social VR; avatar showcases; world hopping; and meetups.
ET1065,Project Zomboid,Survival sim; base building; mods; and RP servers.
OR1066,Are You Smarter Than a 5th Grader?,Quiz/show game sessions with viewers.
VD1067,Gears of War: Reloaded,Cover-based shooter; campaign playthroughs and versus.
ZT1068,Oh Deer,Light indie experience; exploration and humor.
VX1069,HELLDIVERS 2,Co-op shooter; operations; weapons; and stratagems.
NO1070,Foxhole,Massive war MMO; logistics; fronts; and player-driven battles.
BQ1071,Star Citizen,Space sim; ships; trading; org operations; and events.
XC1072,Poker,Live poker tables; analysis; and tournaments.
TB1073,Wuthering Waves,Gacha ARPG; pulls; builds; and open-world exploration.
AZ1074,Heroes of Might and Magic III: The Restoration of Erathia,Turn-based strategy; campaigns and PvP.
